Loan_ID,Loan_Status
LP001015,Y
LP001022,Y
LP001031,Y
LP001035,Y
LP001051,Y
LP001054,Y
LP001055,N
LP001056,N
LP001059,Y
LP001067,Y
LP001078,Y
LP001082,N
LP001083,N
LP001094,N
LP001096,N
LP001099,N
LP001105,Y
LP001107,N
LP001108,N
LP001115,Y
LP001121,Y
LP001124,N
LP001128,Y
LP001135,Y
LP001149,Y
LP001153,N
LP001163,Y
LP001169,Y
LP001174,Y
LP001176,Y
LP001177,Y
LP001183,Y
LP001185,Y
LP001187,Y
LP001190,Y
LP001203,N
LP001208,Y
LP001210,Y
LP001211,Y
LP001219,Y
LP001220,Y
LP001221,N
LP001226,Y
LP001230,Y
LP001231,N
LP001232,Y
LP001237,Y
LP001242,Y
LP001268,Y
LP001270,N
LP001284,Y
LP001287,N
LP001291,N
LP001298,Y
LP001312,Y
LP001313,N
LP001317,Y
LP001321,Y
LP001323,N
LP001324,N
LP001332,Y
LP001335,Y
LP001338,Y
LP001347,N
LP001348,N
LP001351,Y
LP001352,N
LP001358,N
LP001359,Y
LP001361,N
LP001366,N
LP001368,Y
LP001375,N
LP001380,Y
LP001386,Y
LP001400,Y
LP001407,Y
LP001413,Y
LP001415,N
LP001419,N
LP001420,N
LP001428,N
LP001445,N
LP001446,Y
LP001450,N
LP001452,N
LP001455,Y
LP001466,Y
LP001471,Y
LP001472,N
LP001475,Y
LP001483,N
LP001486,N
LP001490,Y
LP001496,N
LP001499,N
LP001500,N
LP001501,Y
LP001517,N
LP001527,N
LP001534,Y
LP001542,N
LP001547,N
LP001548,Y
LP001558,Y
LP001561,N
LP001563,N
LP001567,N
LP001568,Y
LP001573,Y
LP001584,N
LP001587,Y
LP001589,N
LP001591,Y
LP001599,Y
LP001601,N
LP001607,Y
LP001611,N
LP001613,N
LP001622,N
LP001627,Y
LP001650,Y
LP001651,N
LP001652,N
LP001655,N
LP001660,Y
LP001662,N
LP001663,Y
LP001667,Y
LP001695,Y
LP001703,Y
LP001718,Y
LP001728,N
LP001735,N
LP001737,Y
LP001739,Y
LP001742,Y
LP001757,N
LP001769,Y
LP001771,N
LP001785,N
LP001787,N
LP001789,N
LP001791,N
LP001794,Y
LP001797,N
LP001815,Y
LP001817,N
LP001818,N
LP001822,Y
LP001827,Y
LP001831,Y
LP001842,Y
LP001853,N
LP001855,Y
LP001857,Y
LP001862,Y
LP001867,Y
LP001878,N
LP001881,Y
LP001886,Y
LP001906,N
LP001909,Y
LP001911,N
LP001921,N
LP001923,N
LP001933,N
LP001943,Y
LP001950,N
LP001959,N
LP001961,N
LP001973,Y
LP001975,Y
LP001979,N
LP001995,N
LP001999,Y
LP002007,Y
LP002009,N
LP002016,Y
LP002017,N
LP002018,Y
LP002027,Y
LP002028,Y
LP002042,N
LP002045,N
LP002046,Y
LP002047,Y
LP002056,Y
LP002057,Y
LP002059,Y
LP002062,N
LP002064,Y
LP002069,N
LP002070,N
LP002077,N
LP002083,Y
LP002090,N
LP002096,Y
LP002099,N
LP002102,Y
LP002105,Y
LP002107,N
LP002111,Y
LP002117,N
LP002118,N
LP002123,Y
LP002125,N
LP002148,N
LP002152,N
LP002165,Y
LP002167,N
LP002168,N
LP002172,N
LP002176,Y
LP002183,Y
LP002184,Y
LP002186,Y
LP002192,Y
LP002195,N
LP002208,Y
LP002212,Y
LP002240,Y
LP002245,Y
LP002253,N
LP002256,N
LP002257,N
LP002264,Y
LP002270,N
LP002279,Y
LP002286,N
LP002294,N
LP002298,Y
LP002306,Y
LP002310,N
LP002311,Y
LP002316,N
LP002321,N
LP002325,N
LP002326,Y
LP002329,Y
LP002333,Y
LP002339,N
LP002344,Y
LP002346,N
LP002354,Y
LP002355,N
LP002358,Y
LP002360,Y
LP002375,Y
LP002376,Y
LP002383,N
LP002385,Y
LP002389,N
LP002394,Y
LP002397,N
LP002399,N
LP002400,N
LP002402,Y
LP002412,Y
LP002415,N
LP002417,N
LP002420,Y
LP002425,Y
LP002433,N
LP002440,Y
LP002441,Y
LP002442,N
LP002445,N
LP002450,N
LP002471,Y
LP002476,N
LP002482,N
LP002485,N
LP002495,N
LP002496,N
LP002523,N
LP002542,Y
LP002550,N
LP002551,N
LP002553,N
LP002554,Y
LP002561,Y
LP002566,N
LP002568,Y
LP002570,N
LP002572,N
LP002581,Y
LP002584,Y
LP002592,Y
LP002593,N
LP002599,Y
LP002604,Y
LP002605,Y
LP002609,N
LP002610,Y
LP002612,N
LP002614,Y
LP002630,Y
LP002635,Y
LP002639,Y
LP002644,N
LP002651,N
LP002654,N
LP002657,Y
LP002711,Y
LP002712,Y
LP002721,Y
LP002735,Y
LP002744,N
LP002745,Y
LP002746,Y
LP002747,N
LP002754,Y
LP002759,Y
LP002760,N
LP002766,N
LP002769,N
LP002774,N
LP002775,Y
LP002781,Y
LP002782,N
LP002786,Y
LP002790,N
LP002791,N
LP002793,Y
LP002802,N
LP002803,Y
LP002805,Y
LP002806,N
LP002816,N
LP002823,Y
LP002825,N
LP002826,N
LP002843,N
LP002849,Y
LP002850,Y
LP002853,Y
LP002856,Y
LP002857,N
LP002858,N
LP002860,N
LP002867,N
LP002869,N
LP002870,Y
LP002876,Y
LP002878,N
LP002879,N
LP002885,Y
LP002890,Y
LP002891,Y
LP002899,Y
LP002901,N
LP002907,Y
LP002920,Y
LP002921,N
LP002932,N
LP002935,Y
LP002952,Y
LP002954,Y
LP002962,Y
LP002965,N
LP002969,N
LP002971,N
LP002975,Y
LP002980,Y
LP002986,Y
LP002989,Y
